,¾»»¯ÂÊ
0,0.97
1,0.95
2,0.89
3,0.86
4,0.84
5,0.82
6,0.79
7,0.77
8,0.86
9,0.82
10,0.77
11,0.72
12,0.68
13,0.65
14,0.64
15,0.63
16,0.65
17,0.67
18,0.62
19,0.6
20,0.6
21,0.6
22,0.62
23,0.64
24,0.68
25,0.66
26,0.66
27,0.63
28,0.66
29,0.66
30,0.65
31,0.65
32,0.63
33,0.6
34,0.57
35,0.55
36,0.53
37,0.49
38,0.47
39,0.52
40,0.55
41,0.51
42,0.47
43,0.47
44,0.46
45,0.46
46,0.44
47,0.44
48,0.46
49,0.47
50,0.48
51,0.49
52,0.44
53,0.41
54,0.4
55,0.4
56,0.42
57,0.43
58,0.38
59,0.45
60,0.37
61,0.37
62,0.38
63,0.37
64,0.36
65,0.42
66,0.4
67,0.36
68,0.36
69,0.35
70,0.34
71,0.34
72,0.33
73,0.37
74,0.33
75,0.36
76,0.31
77,0.3
78,0.28
79,0.28
80,0.26
81,0.25
82,0.27
83,0.24
84,0.23
85,0.22
86,0.25
87,0.2
88,0.19
89,0.19
90,0.17
91,0.23
92,0.18
93,0.19
94,0.2
95,0.19
96,0.16
97,0.16
98,0.17
99,0.15
