样本编号,测量值,实际值,误差,温度,湿度
0,1.5,1.45,0.05,57.7,65.2
1,1.36,1.47,-0.11,53.7,73.1
2,1.48,1.39,0.09,57.5,68.4
3,1.57,1.5,0.07,57,67.3
4,1.57,1.57,0,58.7,66.6
5,1.56,1.57,-0.01,57.7,68.2
6,0.67,1.38,-0.71,40.1,90
7,1.77,3.22,-1.45,43.2,86.1
8,1.07,1.63,-0.56,46.6,77.3
9,1.36,1.13,0.23,64,60.4
10,1.26,1.34,-0.08,57.3,66.5
11,0.95,1.2,-0.25,51.4,71.7
12,0.16,0.95,-0.79,42.6,88.8
13,0.65,0.7,-0.05,58.4,65.7
14,0.1,0.5,-0.4,49.2,77.7
15,0.41,0.16,0.25,60.1,61.6
16,0.6,0.45,0.15,64.2,62.7
17,0.87,0.74,0.13,60.3,60.6
18,0.55,0.8,-0.25,54.9,70
19,0.59,0.56,0.03,58.2,67.3
20,1.77,2.29,-0.52,45.4,78.6
21,1.47,1.71,-0.24,51,72.7
22,1.23,1.42,-0.19,52.9,74
23,1.24,1.23,0.01,56.7,67
24,1.05,1.2,-0.15,50.2,74.6
25,1.02,1.04,-0.02,56.7,68.6
26,0.39,0.89,-0.5,46.7,75.4
27,0.01,0.31,-0.3,53.3,73.5
28,0.2,0.45,-0.25,52,73.2
29,0.02,0.2,-0.18,52,70.3
30,0.05,0.36,-0.31,52.5,71.9
31,1.15,0.77,0.38,63.9,61
32,1.34,1.19,0.15,64.3,60.3
33,1.6,1.39,0.21,63.6,64.2
34,1.48,1.57,-0.09,55.7,68.3
35,1.45,1.48,-0.03,57.2,68.7
36,2.23,1.61,0.62,69.1,55.4
37,2.85,2.35,0.5,66.9,58.1
38,3.24,2.93,0.31,61.8,62
39,0.95,2.78,-1.83,42.9,87.5
40,1.08,0.98,0.1,60.5,63.5
41,1.62,1.19,0.43,67.6,59.5
42,1.54,1.61,-0.07,56.5,69.9
43,1.5,1.53,-0.03,56.6,67.9
44,1.25,1.45,-0.2,52.8,74.6
45,0.69,1.14,-0.45,49.7,79.3
46,1.48,0.85,0.63,68.9,57.5
47,1.68,1.52,0.16,62.1,63.1
48,1.35,1.61,-0.26,50.3,72.3
49,0.53,1.19,-0.66,45,78.1
