,测量值,温度,湿度,实际值
0,0.254266212,0.450127877,0.376884422,0.270114943
1,0.230375427,0.347826087,0.575376884,0.27394636
2,0.250853242,0.445012788,0.457286432,0.25862069
3,0.266211604,0.432225064,0.429648241,0.279693487
4,0.266211604,0.475703325,0.412060302,0.293103448
5,0.264505119,0.450127877,0.452261307,0.293103448
6,0.112627986,0,1,0.256704981
7,0.300341297,0.079283887,0.90201005,0.609195402
8,0.180887372,0.166240409,0.680904523,0.304597701
9,0.230375427,0.611253197,0.256281407,0.208812261
10,0.21331058,0.439897698,0.409547739,0.249042146
11,0.160409556,0.289002558,0.540201005,0.222222222
12,0.02559727,0.063938619,0.969849246,0.174329502
13,0.109215017,0.468030691,0.389447236,0.126436782
14,0.015358362,0.232736573,0.690954774,0.088122605
15,0.068259386,0.511508951,0.286432161,0.022988506
16,0.100682594,0.616368286,0.314070352,0.078544061
17,0.146757679,0.516624041,0.261306533,0.134099617
18,0.092150171,0.378516624,0.497487437,0.14559387
19,0.098976109,0.462915601,0.429648241,0.099616858
20,0.300341297,0.135549872,0.713567839,0.431034483
21,0.249146758,0.278772379,0.565326633,0.319923372
22,0.208191126,0.327365729,0.59798995,0.264367816
23,0.209897611,0.42455243,0.422110553,0.227969349
24,0.177474403,0.25831202,0.613065327,0.222222222
25,0.172354949,0.42455243,0.462311558,0.191570881
26,0.064846416,0.168797954,0.633165829,0.162835249
27,0,0.337595908,0.585427136,0.051724138
28,0.032423208,0.304347826,0.577889447,0.078544061
29,0.001706485,0.304347826,0.505025126,0.030651341
30,0.006825939,0.31713555,0.545226131,0.061302682
31,0.194539249,0.608695652,0.271356784,0.139846743
32,0.226962457,0.618925831,0.253768844,0.220306513
33,0.271331058,0.601023018,0.351758794,0.25862069
34,0.250853242,0.398976982,0.454773869,0.293103448
35,0.245733788,0.437340153,0.464824121,0.275862069
36,0.37883959,0.74168798,0.130653266,0.300766284
37,0.484641638,0.685421995,0.198492462,0.442528736
38,0.551194539,0.554987212,0.296482412,0.553639847
39,0.160409556,0.071611253,0.93718593,0.524904215
40,0.182593857,0.52173913,0.334170854,0.180076628
41,0.274744027,0.703324808,0.233668342,0.220306513
42,0.26109215,0.41943734,0.494974874,0.300766284
43,0.254266212,0.421994885,0.444723618,0.285440613
44,0.211604096,0.324808184,0.613065327,0.270114943
45,0.116040956,0.245524297,0.731155779,0.210727969
46,0.250853242,0.73657289,0.183417085,0.155172414
47,0.284982935,0.562659847,0.324120603,0.283524904
48,0.228668942,0.260869565,0.555276382,0.300766284
49,0.088737201,0.125319693,0.701005025,0.220306513
50,0.010238908,0.143222506,0.655778894,0.093869732
51,0.018771331,0.120204604,0.869346734,0.174329502
52,0.023890785,0.171355499,0.743718593,0.120689655
53,0.237201365,0.52685422,0.256281407,0.197318008
54,0.204778157,0.373401535,0.497487437,0.252873563
55,0.158703072,0.265984655,0.600502513,0.212643678
