,测量值,温度,湿度,实际值
227,0.380546075,0.685421995,0.216080402,0.302681992
114,0.293515358,0.406649616,0.381909548,0.310344828
126,0.138225256,0.562659847,0.349246231,0.109195402
41,0.274744027,0.703324808,0.233668342,0.220306513
265,0.249146758,0.429667519,0.407035176,0.291187739
223,0.23890785,0.406649616,0.417085427,0.25862069
184,0.034129693,0.061381074,0.761306533,0.32183908
233,0.146757679,0.626598465,0.273869347,0.093869732
166,0.001706485,0.414322251,0.424623116,0
192,0.064846416,0.230179028,0.726130653,0.181992337
87,0.250853242,0.416879795,0.391959799,0.266283525
176,0.312286689,0.549872123,0.273869347,0.277777778
134,0.146757679,0.15601023,0.746231156,0.237547893
49,0.088737201,0.125319693,0.701005025,0.220306513
46,0.250853242,0.73657289,0.183417085,0.155172414
268,0.23890785,0.450127877,0.472361809,0.277777778
66,0,0.191815857,0.625628141,0.078544061
121,0.056313993,0.237851662,0.726130653,0.136015326
42,0.26109215,0.41943734,0.494974874,0.300766284
244,0.225255973,0.6342711,0.314070352,0.220306513
246,0.126279863,0.225063939,0.693467337,0.243295019
189,0.186006826,0.306905371,0.520100503,0.252873563
178,0.245733788,0.434782609,0.379396985,0.27394636
132,0.163822526,0.754475703,0.201005025,0.067049808
271,0.284982935,0.442455243,0.464824121,0.302681992
217,0.223549488,0.457800512,0.459798995,0.260536398
15,0.068259386,0.511508951,0.286432161,0.022988506
65,0.075085324,0.181585678,0.703517588,0.16091954
7,0.300341297,0.079283887,0.90201005,0.609195402
128,0.100682594,0.281329923,0.618090452,0.139846743
101,0.011945392,0.503836317,0.384422111,0.005747126
113,0.278156997,0.309462916,0.600502513,0.340996169
93,0.240614334,0.445012788,0.376884422,0.252873563
195,0.233788396,0.268542199,0.5,0.300766284
25,0.172354949,0.42455243,0.462311558,0.191570881
240,0.264505119,0.442455243,0.381909548,0.293103448
51,0.018771331,0.120204604,0.869346734,0.174329502
110,0.051194539,0.350383632,0.527638191,0.095785441
92,0.228668942,0.329923274,0.497487437,0.277777778
16,0.100682594,0.616368286,0.314070352,0.078544061
61,0.33105802,0.554987212,0.296482412,0.300766284
47,0.284982935,0.562659847,0.324120603,0.283524904
99,0,0.314578005,0.623115578,0.044061303
181,0.196245734,0.299232737,0.608040201,0.239463602
30,0.006825939,0.31713555,0.545226131,0.061302682
67,0.433447099,0.841432225,0.113065327,0.270114943
118,0.284982935,0.035805627,0.912060302,0.488505747
69,0.23890785,0.381074169,0.592964824,0.32183908
170,0.005119454,0.457800512,0.489949749,0.01532567
155,0.059726962,0.076726343,0.997487437,0.216475096
186,0.175767918,0.496163683,0.429648241,0.189655172
250,0.170648464,0.488491049,0.374371859,0.166666667
191,0.192832765,0.306905371,0.560301508,0.229885057
262,0.271331058,0.483375959,0.439698492,0.312260536
169,0.0221843,0.089514066,0.914572864,0.181992337
185,0.174061433,0.710997442,0.175879397,0.107279693
253,0.235494881,0.329923274,0.527638191,0.291187739
147,0.271331058,0.41943734,0.412060302,0.289272031
136,0.088737201,0.493606138,0.389447236,0.076628352
81,0.257679181,0.849104859,0.100502513,0.141762452
252,0.271331058,0.319693095,0.582914573,0.32183908
90,0.262798635,0.452685422,0.494974874,0.272030651
108,0.088737201,0.181585678,0.680904523,0.174329502
103,0.295221843,0.611253197,0.296482412,0.283524904
36,0.37883959,0.74168798,0.130653266,0.300766284
190,0.21331058,0.537084399,0.366834171,0.208812261
29,0.001706485,0.304347826,0.505025126,0.030651341
151,0.097269625,0.15601023,0.653266332,0.22605364
157,0.013651877,0.404092072,0.409547739,0.003831418
50,0.010238908,0.143222506,0.655778894,0.093869732
70,0.058020478,0.056265985,0.954773869,0.222222222
161,0.284982935,0.496163683,0.464824121,0.296934866
55,0.158703072,0.265984655,0.600502513,0.212643678
152,0.054607509,0.301790281,0.525125628,0.093869732
242,0.250853242,0.470588235,0.472361809,0.25862069
196,0.232081911,0.450127877,0.374371859,0.256704981
220,0.237201365,0.414322251,0.472361809,0.256704981
235,0.218430034,0.626598465,0.326633166,0.206896552
216,0.23890785,0.286445013,0.505025126,0.285440613
203,0.296928328,0.396419437,0.394472362,0.323754789
140,0.312286689,0.611253197,0.278894472,0.285440613
37,0.484641638,0.685421995,0.198492462,0.442528736
201,0.30887372,0.427109974,0.394472362,0.346743295
232,0.07337884,0.199488491,0.645728643,0.176245211
71,0.163822526,0.493606138,0.399497487,0.185823755
239,0.267918089,0.383631714,0.489949749,0.279693487
258,0.209897611,0.606138107,0.33919598,0.195402299
272,0.244027304,0.281329923,0.535175879,0.304597701
123,0.042662116,0.598465473,0.35678392,0.021072797
76,0.112627986,0.199488491,0.703517588,0.218390805
85,0.250853242,0.002557545,0.841708543,0.438697318
13,0.109215017,0.468030691,0.389447236,0.126436782
236,0.208191126,0.383631714,0.384422111,0.237547893
28,0.032423208,0.304347826,0.577889447,0.078544061
6,0.112627986,0,1,0.256704981
209,0.302047782,0.452685422,0.469849246,0.340996169
3,0.266211604,0.432225064,0.429648241,0.279693487
9,0.230375427,0.611253197,0.256281407,0.208812261
158,0.083617747,0.386189258,0.386934673,0.090038314
77,0.001706485,0.31713555,0.56281407,0.036398467
168,0.167235495,0.296675192,0.497487437,0.227969349
179,0.209897611,0.301790281,0.535175879,0.262452107
120,0.145051195,0.265984655,0.570351759,0.199233716
11,0.160409556,0.289002558,0.540201005,0.222222222
72,0.0221843,0.081841432,0.952261307,0.17816092
175,0.237201365,0.503836317,0.427135678,0.256704981
2,0.250853242,0.445012788,0.457286432,0.25862069
102,0,0.265984655,0.615577889,0.019157088
212,0.254266212,0.429667519,0.43718593,0.268199234
56,0.64334471,0.805626598,0,0.281609195
260,0.247440273,0.278772379,0.610552764,0.312260536
32,0.226962457,0.618925831,0.253768844,0.220306513
141,0.373720137,0.58056266,0.25879397,0.358237548
226,0.020477816,0.493606138,0.394472362,0.009578544
205,0.358361775,0.324808184,0.5,0.41954023
100,0.010238908,0.406649616,0.427135678,0
97,0.029010239,0.342710997,0.615577889,0.095785441
208,0.310580205,0.47826087,0.474874372,0.327586207
59,0.249146758,0.560102302,0.253768844,0.250957854
109,0.100682594,0.493606138,0.432160804,0.097701149
269,0.255972696,0.386189258,0.414572864,0.266283525
267,0.255972696,0.340153453,0.572864322,0.304597701
225,0.011945392,0.166240409,0.658291457,0.116858238
146,0.259385666,0.429667519,0.464824121,0.272030651
187,0.276450512,0.751918159,0.123115578,0.214559387
172,0.240614334,0.606138107,0.283919598,0.243295019
143,0.266211604,0.324808184,0.603015075,0.358237548
230,0.19112628,0.41943734,0.477386935,0.206896552
89,0.244027304,0.401534527,0.391959799,0.270114943
229,0.020477816,0.030690537,0.834170854,0.199233716
117,0.479522184,0.074168798,0.763819095,1
107,0.020477816,0.056265985,0.992462312,0.216475096
20,0.300341297,0.135549872,0.713567839,0.431034483
14,0.015358362,0.232736573,0.690954774,0.088122605
237,0.221843003,0.406649616,0.449748744,0.231800766
197,0.194539249,0.342710997,0.532663317,0.245210728
142,0.339590444,0.322250639,0.56281407,0.406130268
245,0.245733788,0.475703325,0.464824121,0.250957854
264,0.269624573,0.406649616,0.381909548,0.312260536
180,0.223549488,0.455242967,0.424623116,0.233716475
5,0.264505119,0.450127877,0.452261307,0.293103448
63,0.196245734,0.409207161,0.379396985,0.210727969
39,0.160409556,0.071611253,0.93718593,0.524904215
95,0.291808874,0.606138107,0.304020101,0.279693487
213,0.361774744,0.713554987,0.168341709,0.302681992
138,0.196245734,0.375959079,0.547738693,0.264367816
270,0.271331058,0.396419437,0.379396985,0.285440613
234,0.255972696,0.726342711,0.226130653,0.183908046
78,0.250853242,0.626598465,0.278894472,0.220306513
64,0.167235495,0.31202046,0.56281407,0.208812261
263,0.28668942,0.432225064,0.389447236,0.302681992
91,0.257679181,0.401534527,0.459798995,0.287356322
84,0.431740614,0.670076726,0.16080402,0.356321839
222,0.235494881,0.42455243,0.394472362,0.243295019
130,0.126279863,0.462915601,0.40201005,0.136015326
62,0.192832765,0.281329923,0.565326633,0.283524904
22,0.208191126,0.327365729,0.59798995,0.264367816
215,0.264505119,0.434782609,0.429648241,0.293103448
96,0.105802048,0.043478261,0.766331658,0.279693487
218,0.291808874,0.595907928,0.256281407,0.260536398
53,0.237201365,0.52685422,0.256281407,0.197318008
266,0.281569966,0.508951407,0.331658291,0.281609195
174,0.233788396,0.265984655,0.608040201,0.281609195
80,0.023890785,0.056265985,1,0.245210728
57,0.237201365,0.04859335,0.896984925,0.624521073
122,0.020477816,0.352941176,0.565326633,0.049808429
153,0.088737201,0.562659847,0.334170854,0.063218391
124,0.034129693,0.416879795,0.447236181,0.040229885
154,0.232081911,0.754475703,0.165829146,0.124521073
228,0.464163823,0.62915601,0.314070352,0.440613027
160,0.266211604,0.455242967,0.449748744,0.281609195
254,0.199658703,0.58056266,0.246231156,0.187739464
231,0.184300341,0.398976982,0.374371859,0.206896552
116,1,0.956521739,0.06281407,0.883141762
106,0.197952218,0.457800512,0.407035176,0.233716475
251,0.296928328,0.68286445,0.203517588,0.22605364
24,0.177474403,0.25831202,0.613065327,0.222222222
257,0.172354949,0.62915601,0.283919598,0.151340996
183,0.291808874,0.585677749,0.366834171,0.264367816
177,0.250853242,0.319693095,0.610552764,0.331417625
60,0.259385666,0.452685422,0.484924623,0.275862069
221,0.04778157,0.115089514,0.992462312,0.260536398
